,Airline,Review,Scores,Cluster
2858,Ryan,"Bought a gift voucher for a birthday present and as the receipent goes by the middle name which is my partners grandmother I didnt know, so but the name they use down, although I am wrong they are refusing to add her name on the passport so that the voucher can be used even though it a 2 barrel name so both names would be on it,, know im down 200 euro and will be down another 200 to make up for my error very poor of ryanair and very disappointing that to add 4 letters cant be done, what is the point in providing gift vouchers, ",-0.95,0
2859,Ryan,"I would've given 0 stars if it was at all possible. I think Ryanair is one of the worst things on the planet these days, and I say this fully aware of things happening in Gaza, Ukraine and the US. ",-0.6249,0
2860,Ryan,"Traveling with a non EU passport holder we couldn’t check in online and went to the desk 1,5 hours prior to departure and got a ticket without any problem. On the way back we were charged a 55 fee for not checking in online which the app doesn’t let. Ridiculous, AVOID Ryanair even if you’re on a budget.",-0.6092,0
2862,Ryan,"It's a myth that they are the cheapest I regularly fly between England and NI and after Ryan Air illegaly flown  my step son out of  France after the discrinatory  secuirty forces had forced him back despite , his douments being valid and despite my son having broken no local laws or kicked off at anyone  . Ryan Air was complicit in the discrimination and the pilot even goaded my son who had been convicted of nothing and talked to him as if were something off his shoe . All designed to provoke a reaction .   Ryanair also dictate to me that I must have a passport to go back and forth within the UK even though I'm British .  For these two reason Ryanair can go and do something to themselves as they won't be getting another penny from me and all this malarky about them being the cheapest , does not hold any water as other airlines have uped their game . For example  ej is satisfied with a driving licence for ID if I want to fly domesitc or to one of the crown dependencies .  I find many fairs cheaper elswhere every week and there are no hidden costs or last minute exploitations . If Ryan Air were the cheapest they would sell tickets with a price match gurentee . Another reason I stopped flying with these horrible people is that they got me to book a ticket and check in then demmanded a protracted face verifcation process . No other airlines muck me about like this . ",-0.9217,0
2863,Ryan,"Consistently the worst airline I’ve traveled on. Staff does not care about you. Just came from a flight that has 3 hours delay, they don’t even bother turning on the AC or giving out water. It’s 29 degrees in the cabin and older people are having trouble breathing . What the are you thinking? All this to probably save some money. I have to travel with this company because they are the only ones doing a Bruxelles to Ancona flight, but I would pay even 5 times more money if I could avoid this absolute scam or a company. From experience at least 50% of flights are delayed. This is just insane fix your stuff or just stop operating",-0.9679,3
2865,Ryan,"The staff seem unable to use a microwave…total rip off for a ham and cheese (or no ham and no cheese) panini. It was cold and tasted of absolutely nothing. Do yourself a favour and buy food before you board. €13 wasted and I begrudged paying it. Joke of a service, the staff are below par, likely to want to work at BA but not made the standard.",-0.5028,2
2866,Ryan,"had a very frustrating experience with your service.I booked a flight through your platform and was charged approximately £200–£250. Shortly after completing the booking, I received communication indicating that the flight had been cancelled and that a refund was on its way.Based on this information, I reasonably assumed that the booking was no longer valid and was forced to urgently purchase an alternative flight with another company.However, despite receiving a cancellation and refund notification, the amount was still taken from my account, and the booking later appeared as “confirmed” again. This situation is extremely confusing and unacceptable.As I relied on the cancellation message and have already made alternative travel arrangements, I request a full refund for this booking.I have supporting evidence of the cancellation notification and payment, which I am happy to provide.",-0.699,1
2867,Ryan,"Avoid at all costs! Our Poznan–Edinburgh flight (9th February 2026) was handled extremely poorly from start to finish.We were first kept on the ground in Poznan for almost 2 hours with no proper explanation. At one point it was suggested the delay related to a disabled passenger, which created confusion rather than clarity. There was no transparent communication. What is particularly concerning is that Edinburgh Airport’s midnight closure had already caused a diversion just two weeks earlier in January. Despite this known issue, there was no warning that diversion was even a possibility. We were not given the opportunity to notify family or arrange backup transport. We only learned we were being diverted approximately 10 minutes before landing when the pilot announced it. All communication was delivered in English only, despite the aircraft being full of Polish passengers, including many elderly people who clearly did not understand what was happening. We landed in Glasgow Prestwick at around 01:00am. Cabin crew had announced that coaches would be provided. No coaches were available. One bus eventually arrived and appeared to take crew and a small number of passengers, leaving the majority of us stranded at a remote airport with no open shops, no water, and no assistance.There was no public transport operating at that time (first services around 5–6am). I was travelling with my 8-year-old child. Remaining overnight in an empty airport was not a safe or reasonable option. Ryanair sent a message instructing passengers to source their own transport and keep receipts for reimbursement. My partner had to drive from Edinburgh to collect us. I submitted the petrol receipt exactly as instructed. The claim was rejected on the basis that petrol is “not eligible”, despite there being no buses, trains or coaches available. The customer service experience afterwards was just as disappointing. I received only generic template responses that did not address the actual circumstances of the case. Each reply simply directed me to passenger rights information on their website. No specific explanation, no meaningful review, and no resolution whatsoever. When I asked for clarification, I was effectively blocked from further escalation. The lack of accountability and the repeated use of automated responses made an already stressful situation even worse. Passengers should be aware that even if you are told to arrange your own transport and keep receipts, reimbursement may still be refused without proper consideration of the circumstances. This was an extremely stressful experience for me and my child, and the handling of it afterwards has been equally disappointing.",-0.9917,3
2868,Ryan,very rude staff kept my bag from allicante airport trying to charge me 50 euros  they was being very rude towards me saying i cant take a food bag,-0.764,2
2869,Ryan,They charged me 60€ extra for my bag before entering the plane. They just picked me out and demanded the money. My bag perfectly complies with the measures presented on their website and wasn’t even measured bu the staff. The man demanding my money was extremely rude.,-0.4005,2
2871,Ryan,"It markets itself as a Budget airline then constantly acts cheap, while prices arnt as competitive as other airlines. The check ins, baggage checks, lines, and even announcements are more a humiliation ritual than services. The worst budget airline there is. Avoid at all COST.",-0.8622,3
2874,Ryan,"Im Edinburgh airport before flight to Rzeszów 23.01.2026 i change seats to 11a and 11b for my son they charge me the diffrience 2£ what was no big deal. But the time we seat on this seats there a lady come and said that's her seats, steward come and i explain about i change the seat and ryianair allow me to do? He Ask me to leave and seat on orginal booking seats what im done IT. Is not about two Pound its about unfair practice how you can sale the seats already Been sold to someone else????",-0.6868,2
2875,Ryan,A case was closed without my consent that was in spite of replying to every pre ceding email before they decided to bin the complaint and in effect no address it in any meaningful way. Basically they ignored all my replies in order to reach their own pre determined conclusion .  No wonder these flids  employ rude staff who care nothing about the law or their own misconduct . Customer dissatisfaction is fine they believe they are a law on to themselves and my local MP Tracy Gilbert stood back and let them hold court in spite of the law.  Which says British passengers have certain rights between certain areas . Pathetic why we are obliged to pay one and swallow the nonsense from the other  ,-0.9466,2
2876,Ryan,"We travelled back from Budapest to Stansted on the 13 February 2026. You are required to download the App to checkin. You are warned paper boarding cards are not longer accepted, it's all on the App. During the checkin you are encouraged to pay additional costs to 'sit together', additional baggage, car hire, all of which we declined. We were allocated seats 23F and 07A, 16 rows apart on the opposite sides of the plane. Even though there was a full empty row on row 22. The same thing happened on the outward flight which we believe to be unacceptable. We expected to be seated at least fairly close together without paying additional cost. We suspect Ryanair has a policy to seperate couples unless they pay the additional cost to sit together.",-0.8028,0
2877,Ryan,"Worst Company in the world… Here in Katowice they just got my luggage that was more than 40cm high, and let pass all other passengers with my same luggage size.. very discriminatory that only 1 passenger have to pay extra.. I’m sure that the intentions were “stop 1 or 2 people just to show to the company that we are working”.. 55€ for a small backpack 10cm higher.. Very Bad!",-0.8066,2
2880,Ryan,"If I could rate Ryanair below zero, I would. I booked this flight solely because it was the cheapest and fastest option for what should have been a straightforward 30-minute trip from Barcelona to Palma de Mallorca. Instead, it turned into a complete nightmare.I arrived at the airport early for my scheduled 9:00 PM Sunday departure. The flight was first delayed due to thunderstorms and pushed to 10:00 PM. Oddly enough, flights to Ibiza and Formentera continued departing without issue, while ours was delayed again—this time to 11:00 PM and no rain! At 11:00 PM, the flight was cancelled outright.Passengers were then forced to wait in a two-hour line to speak with customer service. The staff appeared completely unprepared and uninterested in assisting anyone. Eye-rolling, dismissive attitudes, and zero problem-solving skills were on full display. I work in customer service myself—if you don’t know an answer, you find one. That did not happen here.The only option offered was rebooking onto the next night’s 9:00 PM flight at no cost to us, which, unsurprisingly, was also delayed until nearly 11:00 PM. We were told we would be fully compensated, at least for our hotel accommodations. I had to spend $188 on a last-minute hotel after arriving back in Barcelona at 1:00 AM, grateful just to get some rest.Attempting to receive reimbursement from Ryanair was another ordeal entirely. Their website would not allow me to complete the refund form because it requires an IBAN number—something that does not exist for U.S. bank cards. From September until December 16th, I went back and forth trying to resolve this, only to receive a partial refund of $120, not the full amount owed.I fully understand that this is a budget airline and that expectations should be adjusted accordingly—but this level of disorganization, poor customer service, and refusal to properly reimburse expenses is unacceptable. Ridiculous.",-0.9438,0
2883,Ryan,i recently purchased  a flight from ryan air and booked early so i could get the window seats we choose . we only get a noticfication by email 2/3 weeks before the flight is due to leave stating that the flight out that  ryanair have alicated another middle seat for one of us to travel without any explanation or compensation . attitude was just suck it up . what can you do . we are not going to get anything else at this late stage to cancel and fly with someone else .maybe they can do this if the terms and conditions state but from a point of law if you make a purchase of service or a product and if is not good enough for purpose surely there should be a refund or compensation .was quite annoyed . ,-0.6857,0
2884,Ryan,"Ryanair birmingham to Paris Beauvais. In February I had no problem with my cabin bag it was on wheels, to make it easier getting around. On the way back I got stopped at told to put my bag in a Ryanair baggage slot to test the size. I tried to explain I arrived with this bag and never got stopped so why can’t I take it home. The security man who stopped me who conveniently couldn’t speak English. Pointed to the Ryanair desk, where I explained everything but because security stopped me they didn’t have a right. Paid £36 to have my bag be put as a priority bag that went exactly above me as it did when I arrived. Meanwhile I watched as 4 other passengers brought on their cabin bag and x6 shopping bags from duty free. It was my first time flying with Ryanair and to Paris, which spoilt my travels. It has put me off using this service again. I will say to anyone who does this journey, to take a bag without wheels and to be aware how strict this airport was. Also not friendly or helpful! ",-0.4082,0
2885,Ryan,"Not a 1 star review because I always have a pleasant Ryanair flight on the plane itself. However their claims department ignore the Montreal Convention passenger rights and denied my claim. My baggage went to 3 different airports before it even arrived with me. I went from Berlin to Dublin. However my bag was sent from Berlin to Stansted and then flown further to Belfast (my end destination). They claim because it was returned within 48 hours, they are not obligated to compensate me. However I had no clothes, underwear or toiletries and was in my rights to claim for the expenses to be refunded. Did Ryanair expect me to sleep in the same jeans and wear the same underwear for 2 days due to their mishandling error or expect me to cover the costs at my own expense?Because it was cold, I'd been rained on and I had non of my warm clothes (which were in my suitcase), I also had a huge pain flare up - I have a chronic illness affecting my nervous system.They also said at Dublin airport my bag would be couriered from Dublin to Belfast but head office denied this request, due to ""cost saving measures"". So their team essentially fed me misinformation and I wasn't sure when my bag would arrive back with me or how many clothing items I should buy whilst I waited.I had 2 flights to different locations after this and had to be extra hand luggage, as a result of the additional items I had to buy. I also had to constantly call the baggage handlers to get any update on where my bag was. I've had to file a complaint with the Aviation Dispute Resolution because this goes against MC99.",-0.9407,0
2887,Ryan,Disappointed in language used by a member of staff. Yes things had gone wrong when checking in for boarding FR1862 to Manchester from Cork but to turn to another member of staff a say this is a massive f up. This is unacceptable in front of customers and degrading to the person who it was amid at. ,-0.9091,3
2889,Ryan,Awful service. Accidentally double booked luggage and they refused to refund even though the flight is in 12 months time. Definitely wouldn’t recommend or book with them again. ,-0.34,3
2890,Ryan,"Booked a flight with Ryanair. After checking in my luggage and having my passport checked, I went through to the gate. As we were going through the gate and having our passports checked for the final time, the Ryanair employee at the stand noticed a small tear on one of my passport pages - something I had not noticed before and something which hadn’t been picked up twice earlier in the week by other airlines. I was refused entry onto the flight by an employee who seemed to find the whole thing amusing. He blamed Ryanair’s new policy and hid behind the term ‘Ryanair’ during his explanation. His smirking and lack of ownership over the decision left me feeling really angry. Throughout the whole booking experience and this episode, plus on previous occasions flying with Ryanair, I am left with the impression that the company exists to provide the cheapest flights possible while making the most amount of money possible - the flights are cheap but it comes at the cost of poor, unaccountable service, rigid and unfriendly polices on luggage sizes and passport conditions, and deliberately confusing payment options throughout the flight booking process that can easily result in unintended purchases. They can explain all these policies but the fact is that other airlines do not share this culture, while providing similarly priced flights. ",-0.919,0
2891,Ryan,Worse experience with the customer service at Departure and the Returning. Their system of checkin in advance was not even working properly.Me and my family could not get any seats together at all from both flights HORRIBLE NOT RECOMMENDED AT ALL,-0.8579,3
2893,Ryan,"I really need to speak with a HUMAN in customer service in Sweden but it is IMPOSSIBLE!! **crying**The chat gives me the same answer over and over again, no matter how I express myself! And when I call the number, the same data voice tells me to look under Q&A - where the're are no answars to my problem!!",-0.8663,1
2895,Ryan,"Absolute disaster. We have arrived 2 hours before they flight and decided to have meal 25-30  meters away from the gates. We have finsihed our meal and walked to the gates 20 minutes before the flight. Aircraft door was still open and ladder still there. My wife and 3 kids were not allowed on flight and we had to watch our luggage gets unloaded. When ryanayr flight is late passengees have to stay in queue for 40-60 minute's.  All this just fine, not even sorry. But we walked to the gates 20 minutes before the flight and were refused to board.  Then we walked all the way to security gates and were not allowed to get out. Had to run around airport and go through passport control again. I have complained to Ryanair desk that there was no announcements either on screens or verbal. Ryanair staff claimed.there was general assembly call. Dirty liers. There is no way five of us would have miss announcements. Absolutely rotten both airline and airport. Shtheds and filthy ignorant staff. The worse experience I have ever had",-0.9805,0
2896,Ryan,"the rudeness of the boarding personnel is unmatchable. I have a diverse flight experience but to have someone shame the pasager in front of all the other passages is at another level. All the boarding staff from the flight from Stansted to Otopeni (18:40 departure, England time) should be fined and the supervisor fired, namley a blond ... with a large attitude",-0.8957,3
2897,Ryan,"Awful!!! They charge extra the luggage in the cage for 75€ or else you don’t fly. A luggage that has been already paid with the ticket . The workers very rude , they don’t try to help they just choose who to charge extra. Because it is not for everyone , it was very clear that they were doing it to specific customers. And we also saw on the plane people with bigger bags not charged . And every time the have a delay!!!! ",-0.3129,2
2898,Ryan,"occasionally I fly with RyanAir.They've now moved to a app only boarding pass which is completely useless, they just want to mine your phone data for extra money. Just let us download a PDF like what has existed since the beginning of time and stop trying to exploit less knowledgeable pensioners who fly.",-0.4391,0
2900,Ryan,I don’t often write reviews but this airline is pathetic. Scam every last £ out of you. It ends up not even being the cheapest. Scam artists ,-0.9528,3
2901,Ryan,"Avoid this company. They added an additional 20x kg bag to my booking when I only selected 1x per passenger (for €58 per passenger) and charged me an extra €37 for another one. Refused to refund the €37 for the extra bag I didn’t select or need. Payment hadn’t even gone through yet, problem was easily remedied but they refused. Said it was at the bottom of the page before I confirmed the order. ",-0.6757,2
2902,Ryan,"Wonderful. Just wonderful! Accidentally missed our boarding by not even ten minutes and we weren’t allowed on. No intercom, no warning. Nothing. Do NOT use Ryanair. ",-0.3164,0
2903,Ryan,"Absolutely ridiculous!!!Booked parking in London STD airport with the flights via Ryanair. The booking was automatic so I had no option to book the time out of parking. The system assigned the time to finish the parking at the exact time of airplane landing, which makes it impossible to meet this. I have contacted Airport parking, they told me to go to ryanair, ryanair told me to go to Manchester Airports, Manchaster airport gave me a number to call, on that number automated service send me off to Ryanair again. There is no way to actually contact someone about it. Do not book parking with ryanair unless you like headache and lost money",-0.6165,0
2908,Ryan,"I had a Priority ticket on Ryanair from Toulouse to Marrakesh, which explicitly allowed me to carry both a small cabin bag and a small cabin suitcase. Both of my bags fit perfectly into the airline’s sizing boxes. Yet, at the gate, the staff suddenly decided my tennis racket (inside a proper tennis bag) was “not properly packed” and demanded I pay an extra surcharge.When I asked why, the staff could not provide a clear explanation beyond a vague statement that my racket bag was “not conform to the transportation of tennis rackets.” Instead of addressing the racket bag, the staff arbitrarily forced me to check in my other small suitcase and made me pay €75. This made zero sense — the suitcase had nothing to do with the racket, yet I was punished. I still got to carry the racket onboard anyway, as if nothing had happened.When I questioned why my other suitcase was penalized instead of the racket, the staff refused to explain and even threatened to stop me from boarding. The customer service afterwards has been dismissive, citing baggage rules but ignoring the fact that my bags were within the purchased allowances and the staff’s handling was completely unreasonable.",-0.8357,2
2910,Ryan,I was one of the unlucky passengers on  flight V547WH from Alicante to Glasgow on 9 December at 17.15. We were diverted to Manchester and ferried up to Glasgow by coach by Sky Coaches. Our driver was extremely rude and I think he was an asylum seeker because he could not speak English and seemed unable to read road signs properly! I asked on the plane when it became obvious that we were getting diverted if I could purchase a sandwich as I’m on medication and need food to take tablets. The stewardess had absolutely no empathy at all and flatly refused to sell me anything! When we left Manchester I asked the driver if I could be let off the coach at Hamilton services to enable me to receive my medication from my wife who arranged for our kind neighbour to pick me up there. The driver initially agreed to this but reneged later leaving me distraught !! I eventually had to be taken to Glasgow airport where I had to get a taxi home to N Lanarkshire.The staff at Ryanair are absolutely dreadful and fully deserve their reputation as surely the worst airline around! I’ll pay extra next time I fly to avoid this horrible experience again! They sent me an email claiming I could get refunded reasonable expenses but although I have tried to claim only £54 I’m not expecting any help whatsoever!!Please everyone consider alternative arrangements if you are tempted to use this airline!!!!,-0.9815,0
2914,Ryan,"Extremely rude staff, rushed onto planes only to be stuck on runway for hours, always looking to overcharge for something, I wish everyone would stick together and just stop using them",-0.5849,3
2915,Ryan,"First and last time booking with Ryan Air,Customer service waste of space and never get back after a number of complaints ",-0.6369,0
2916,Ryan,So after complaining about leaving my stranded at airport  no-one has given me my money back please do not go with this airline they are hopeless i had to borrow money after crying at airport in total stress to get home Ryanair contacted love holidays of this change back in September but they failed to inform me they want do anything about my complaint evon tho they ask yo private message on here plewe adve yourself heartbreak because if you have a family it will cost you high amount because love holidays want communicate anc tell you hhst your flight is cancelled and you never get your money returned ,-0.6297,0
2917,Ryan,Very bad app. Does not remember your info.Customer service is the worst. They don't even try to act professional. Each one of them are rude. They thrive on scams and they should be held accountable.,-0.9402,1
2918,Ryan,"Decided to go to Benidorm with family for a few days over new year, usually don’t use Ryanair but flights were booked by family and not myself. Flight to Benidorm not too bad nothing major happened however, returning to the uk was a horrible experience. Only just arrived at the airport to check in bags, mind you, me and my mother both have disabilities (me having mental health difficulties, and my mum more physical) so we were at the accessible check in desk. When checking 2 bags in, we were certain 2 bags had been payed for as a 20kg cabin add on, however lady at the desk claimed we only payed for 1, and no others showing up. I looked through the app (we had two separate bookings for the four of us) and should have been 1 bag under each booking. I did notice there wasn’t a bag in one of the bookings however after a thorough look there was two bags under 1 of the bookings so regardless it should have shown in Ryanair’s system. She swore blind that we only bought one bag and was quick to ask us to purchase an add on. At the time (before checking the app, yes I should have checked before but so much going on we didn’t get round to it prior to arriving) so we agreed to buy an extra cabin bag as we thought we must have forgot to add one on originally. After this, I usually get assistance through security so we waited for that on the accessible seating. Whilst waiting I looked through the app and discovered what I had mentioned previously about two bags under one booking. We bought this to the lady’s attention, had a quick skim through her system and still was adamant that only one bag had been payed for and what we were seeing on the app isn’t on her system and so therefore we must be incorrect according to her. To be honest the whole interaction was quite rude and quick to push the blame on us, when it’s very clear it’s a mistake on their system - or she wasn’t looking properly at the bookings. as we had now understood we payed for three bags when we only wanted 2, we asked to be reimbursed for what we shouldn’t have payed for, yet funnily enough she was unable to do that - strange they’re quick to take your money though. So she sent us to help desk who managed to sort a refund after 20 minutes of waiting around. He then told us we had to go back and change the stickers on passport as the bag we checked in would have changed. We went back to the desk where the lady was checking bags in, and sorted the stickers, when she then finally admitted to making a mistake claiming it was her first day on the job. Now I understand being new at a job and you can make mistakes, I’m new at a waitress job myself so I get it, but when they aren’t willing to get a co worker or anyone to assist and instead make us run around like idiots to fix THEIR mistake, is just unacceptable. This was exhausting and extremely frustrating as they were very aware of our struggles (sunflower lanyards, as well as hidden disability displayed on the bookings) (mind you she didn’t even seem to realise my mum also should have had assistance but we didn’t have time to clear that up and frankly nor did we have the energy to fight that). It’s just a horrible situation to be in for anyone, let alone with anxiety etc, I could see my mum getting extremely anxious to the point she was shaking. The time it took to resolve this left us with less than 15 minutes to grab something to eat and board. All in all I can say I have very little faith in the support at Ryanair, and won’t be using them in the future. Hope this helps anyone get an insight so they’re aware next time they choose to travel.",-0.6763,0
2919,Ryan,"I would like  to raise a serious concern about the unacceptable behavior of Ryanair staff during my sister’s recent travel experience, at Manchester Airport.My sister, who lives in Italy and does not speak English fluently, was subjected to what appeared to be discriminatory and disrespectful treatment by members of your staff. During the security and check-in process, staff were laughing at her and speaking in a way that made her feel humiliated. They confiscated personal items such as unopened creams and perfumes, and even attempted to take a new gold chain and a new purse — without offering any clear explanation in a language she could understand.The only reason for this mistreatment seems to be that she does not speak English. But why should that be a reason for ridicule or unfair treatment? She is an Italian resident, and passengers should be treated with equal respect regardless of the language they speak.I am deeply disappointed and concerned that this kind of behavior is still happening. No passenger should feel mocked, targeted, or disrespected because of their background or language. What has happened to basic kindness and humanity? ",-0.9392,0
2920,Ryan,"I am totally upset about how the customer service is! Recently, I traveled with my family with Ryanair. We have three check - in luggages, none of the luggages is safe. One of my luggage wheels is damaged, and the others have cracks on the edges. When I try to communicate with the customer service in the airport in Edinburgh, they just reply me without any patience. I just want to ask for more specific details, they just stopped me while I was talking. Because my luggage had been check-in, I can't make a report to them, they need to take picture by themselves, so I decided to do the complaint when I arrived London Stansted airport; however, the customer service in London Stansted airport ever worst than the Edinburgh. They asked me to send an email to Ryanair. I did it before I asked them, but they insisted to help me and keep saying that they can't do anything. Then kept pointing the email ask me to go. With this experience, I won't trust Ryanair service anymore. It was so terrible!",-0.9094,0
2921,Ryan,"I tried to book flights through the app, 3 times I tried. Each time it got to processing the payment then flased up an error code and kicked me back to start the booking again, each time the price increases. In the end I couldn't not book as the entire family has booked on some also experienced the same and I ended up paying £300 pound more. Absolute joke im now dreading this trip. ",-0.5606,1
2922,Ryan,"Paid twice for a suitcase because the member of staff gave us the wrong info, then lied to his colleague about what he told us at the baggage drop off rather than taking responsibility.",-0.7783,2
2925,Ryan,"Due to the Ryanair delay we miss next flight which was booked with Ryanair as well. We ended up with 5 years old child in the middle of the night at the airport.Moreover next flight was not the next day but 2 days later. We spent about 1 000 euro just to pay for the hotel and food and transport expenses for 2 days in Milan and wait for the flight home. No compensation was provided, not even tickets for next flight. I would never ever use this shit company ever again. Disgusting ",-0.9458,0
2926,Ryan,Booked a flight last month and didnt get to check in. Then later they wanted to reimburse it for 100 EUR but it just sad that they overbook the flights. They said its because I was late for checkin where i wasnt,-0.631,2
2927,Ryan,"Terrible experience with the online check in procedure, very confusing, feels like it’s intentional to trick people into paying more.",-0.4077,2
2928,Ryan,"Terrible service.The flight from Sofia to Copenhagen was delayed by just under three hours due to a fault with the airline’s plane. While waiting at Sofia Airport, I received a message on my phone saying that a €4 refreshment coupon had been added to my boarding pass. €4 is barely enough for the cheapest coffee or a small bottle of water. On top of that, the link showing where the coupon could be used at the airport was not working.After asking around and finding places that supposedly accepted vouchers, I discovered that there was no €4 voucher on my boarding pass at all. I tried at two or three places, and it didn’t work anywhere. I felt stupid and misled.When boarding finally started, instead of apologising to passengers who had been waiting for 2.5 hours, the staff began arrogantly charging €75 to people whose suitcases were sticking slightly out of the metal frame. The problem is that if you have a soft bag, it doesn’t stay in the frame properly because there is no front. Very “clever”.On the plane, the crew were extremely rude and arrogant. I had to ask several times for an update on the arrival time, as I had a train connection on the other end. The stewards were clearly annoyed and said they couldn’t know what would happen in the air. No time update was given during the flight at all.Because of the delay and the late arrival after midnight, I missed my train and lost my tickets. It was impossible to travel until nearly 4:00 in the morning, meaning I spent 3.5 hours wandering around at night.When I tried to claim my train expenses based on my passenger rights through their website, the application would not submit. There is clearly something wrong with the expense claim form.Terrible.  Absolutely terrible.",-0.9865,2
2929,Ryan,Honestly the worst company I’ve ever interacted with. They make a business out of providing you the worst service and most obvious scamming techniques possible. ,-0.7351,1
2930,Ryan,"On 31 October 2025, I travelled on Ryanair flight FR3683 from Malaga to Lisbon with Priority Boarding, which includes one cabin bag and one small personal item.At the gate, a staff member refused to let me take my cabin bag onboard, claiming it “wouldn’t fit,” even though it was within the size limits (55x40x20 cm). She spoke rudely and forced me to pay €50, saying the bag would go in the aircraft hold.However, no one collected the bag. It was tagged as a “Cabin Manual Bag,” and I carried it onboard myself — it fit perfectly in the overhead locker. The cabin crew member Esther confirmed that the charge was unnecessary.I contacted Ryanair, but they ignored these facts and sent a generic response about baggage policy.I was charged twice for the same item and the paid service was never provided.If this issue is not resolved, I will escalate the case to the European Consumer Centre (ECC-Net) and consider reporting it to the Civil Aviation Authority (CAA) for unfair commercial practice.This situation shows poor customer service and disregard for EU consumer rights.",-0.9557,0
2937,Ryan,"This is one of the worst airlines I've ever flown with. The prices are very cheap, but at the gate they become exorbitant because you're more incompetent than you can imagine. EasyGet is a thousand times better; their prices are more reasonable and consistent.",-0.5089,3
2938,Ryan,Extreme poor. Late. Dirty. Food is shocking,-0.8271,3
2940,Ryan,Please do not fly this airline if you have any disabilities as if you have adhd or am kind of condition where you are slight different from the normal you will be pick out not spoke to and refused your flight without any explanation or reasoning with none of my circumstances being took seriously and because I recorded out conversations the manger refused to speak to me I have video evidence and this had cost me £200 extra just to get home because my adhd started to get back and I was a bit hyper speaking to my sister on my phone and see also explained my need to no avail customer should not be treated like this especially refusing to speak to someone because they are documenting the conversation very unprofessional if nothing illegal or untoward was happen your manger would have had no problem being on video and explaining why she had done what she had done for there to be no reason or explanation giving this is totally unacceptable and no help with me trying to get home was given they have your money already so the company dosent care and there mangers are aggressive and abusive toward flyers with them totally refusing ti speak to you because you are documenting what we are talking about somone who doesn’t have anything to hide would more then happy speak on the camera I have video evidence of this happening ,-0.9557,2
2942,Ryan,"If there was ANY other option, I’d take it.I paid extra for a specific seat for my 15 year old daughter so that she would be sitting close to the adult linked to her booking, as she was travelling as a minor. When she got her boarding pass at the airport in Faro, she had been moved over 20 rows away from the adult linked booking and was placed in a middle seat between two strangers. Why was her prepaid seat taken from her? I thought airlines were supposed to seat minors close to the adult booking? It was very upsetting for her as it’s the first time she travelled without her family. There was absolutely no valid reason for it except Ryanair thought it would be easier to rip off a child at the airport. They did the same to her 14 year old friend on the same flight. I tried to get it fixed for her from home in Ireland but Ryanair customer service is the worst I’ve ever  experienced.",-0.7878,0
2944,Ryan," I experienced a distressing incident at Eindhoven Airport involving Ryanair staff. My flight FR5682 to Stansted Airport London was scheduled for 21:00 but departed at 21:32. I had all necessary documentation and was boarding when the flight was delayed by 30 minutes.The female staff member, whom I will refer to as Viggo, was unprofessional and arrogant. She refused to allow me to board despite my valid ticket and boarding pass. I was subjected to mental trauma and anxiety as she denied me boarding and threatened to involve security or the police.I later discovered that Viggo had targeted me to obtain a replacement ticket, which she intended to sell for additional profit. I lodged a complaint on the Eindhoven Airport website as advised by immigration staff. However, I did not receive any support and felt the process was unprofessional.Ryanair provided no assistance at the airport and the service desk was unhelpful. I was forced to purchase the tickets and pay a significant amount. In the middle of the night, I was left without transportation or services. The staff members, including Viggo, laughed at me and continued to speak in Dutch.In the morning, I presented my documentation, but Ryanair demanded payment for the ticket. As I had missed the flight, I was required to purchase a replacement ticket for €375 to return home. This resulted in a sleepless night, a lack of food and considerable physical stress.I strongly advise caution regarding Viggo and the Ryanair flight . I found myself in a difficult and financially strained situation. I hope that the female staff member will be disciplined and that her actions will serve as a warning to others who misuse their power. Ryanair services so complicated I called the number multiple times but no response and get chance to speak anyone. No service available at airport overnight and day .",-0.9906,0
2945,Ryan,"We were charged 170 EUR extra for 2 people on a Lisbon–Paris flight due to Ryanair’s own operational failures.Yes, we missed online check-in by a few minutes and paid the airport check-in fee which was 110 EUR. Not ok but fine.But during airport check-in, the Ryanair employee clearly saw that we had paid for a checked bag, watched us holding the suitcase, and did not warn us that it had to be dropped off. It was a kabin size bag so we didnt think it had to be checked in and she got our money and didnt check in our bag!At the gate, we were stopped and charged another 60 EUR for a mistake caused entirely by Ryanair staff.This is not “low-cost flying.” This is profit through poor communication and passenger trapping.If you fly Ryanair, triple-check everything — their staff won’t help you, and you’ll pay for their silence.",-0.4102,0
2949,Ryan,"Absolutely shocking experience with Ryanair.My husband was involved in a life-threatening car accident and was medically declared unfit to fly. We contacted Ryanair in advance, provided evidence, and asked for a reasonable solution. Instead, we were met with nothing but copy-and-paste responses hiding behind “policy”.They claim to “empathise”, but there is clearly zero empathy or human understanding when it actually matters. Even in a situation like this — a serious accident completely outside of our control — they refused to offer even the most basic gesture such as travel credit.Their only suggestion? Pay extortionate fees to change the flight (which are higher than the original ticket) — despite the fact we have no idea when recovery will allow us to travel. Completely unrealistic and unreasonable.This isn’t about wanting a refund for a change of plans — this is about how a company treats people during genuinely difficult, life-changing situations.Disappointing, inflexible, and completely lacking in customer care. I will not be using Ryanair again.",-0.4232,0
